罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,被害者の年齢,被害者の職業,施錠関係
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/1/4,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/1/28,19,その他,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/2/2,12,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/3/9,19,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/5/20,14,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/6/7,18,その他,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/8/28,16,駐車（輪）場,駐車（輪）場,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/10/10,20,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/11/9,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/2,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022/1/25,12,その他,その他,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022/4/21,16,その他,その他,50歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022/5/10,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022/8/17,6,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,京成千葉中央駅前交番,121011,千葉県,千葉市中央区,本千葉町,2022/9/22,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022/3/17,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022/7/25,8,道路上,その他,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022/10/8,17,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森１丁目,2022/10/25,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森３丁目,2022/10/13,19,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,椿森５丁目,2022/9/24,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,東千葉３丁目,2022/10/10,18,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2021/12/30,12,一戸建住宅,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天３丁目,2022/10/31,8,一戸建住宅,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022/3/31,22,４階建て以上共同住宅,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022/5/7,22,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022/7/8,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉公園前交番,121011,千葉県,千葉市中央区,弁天４丁目,2022/12/6,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/5/8,22,その他,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/9/27,5,４階建て以上共同住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/9/27,23,４階建て以上共同住宅,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/11/7,20,４階建て以上共同住宅,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/11/25,12,その他,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/12/16,9,一戸建住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町１丁目,2022/10/30,15,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,稲荷町２丁目,2022/6/25,18,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022/3/16,17,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022/6/5,17,４階建て以上共同住宅,駐車（輪）場,10歳未満,小学生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広３丁目,2022/7/30,1,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022/8/29,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,末広４丁目,2022/10/31,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/1/31,13,その他,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/4/2,8,道路上,その他,10歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/9/16,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/10/10,14,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/10/30,8,その他,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/11/17,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/12/19,0,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/4/12,13,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/4/26,17,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/6/19,17,その他,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/8/19,7,その他,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/10/15,19,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/10/18,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/10/23,17,４階建て以上共同住宅,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新千葉１丁目,2022/10/29,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/5/21,9,道路上,その他,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/8/3,19,その他,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/8/23,10,道路上,その他,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/8/26,13,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/9/4,18,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/10/1,18,その他,駐車（輪）場,10歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/11/7,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/11/21,21,４階建て以上共同住宅,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/12/1,15,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/12/16,15,４階建て以上共同住宅,駐車（輪）場,70歳以上,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/1/30,2,道路上,その他,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/2/25,19,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/4/17,8,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/5/23,7,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/6/16,12,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/7/18,18,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/8/18,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見１丁目,2022/10/30,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2021/12/25,19,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/3/5,20,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/3/19,16,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/5/4,20,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/6/27,9,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/7/13,21,道路上,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/7/21,17,その他,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/9/21,21,道路上,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/10/21,21,道路上,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/10/26,22,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/11/6,21,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/11/11,6,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/12/1,17,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/12/10,18,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/12/13,17,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/12/19,12,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,富士見２丁目,2022/12/23,15,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/1/6,12,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/2/17,18,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/4/9,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/4/10,16,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/6/8,6,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/6/8,18,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/6/14,21,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/6/16,6,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/7/31,9,その他,その他,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/8/25,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/1,16,４階建て以上共同住宅,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/3,10,その他,その他,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/9,6,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/28,9,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/29,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/9/30,22,道路上,その他,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/1,17,その他の住宅（３階建て以下共同住宅等）,その他,70歳以上,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/4,7,駐車（輪）場,駐車（輪）場,20歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/6,18,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/19,22,道路上,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/10/23,19,道路上,その他,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天１丁目,2022/12/1,9,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/2/17,15,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/5/7,16,駐車（輪）場,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/5/28,16,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/7/7,9,駐車（輪）場,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/8/11,8,駐車（輪）場,駐車（輪）場,50歳代,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/8/30,6,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/9/12,13,駐車（輪）場,駐車（輪）場,60-64歳,その他,施錠した
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/9/25,11,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/10/26,7,駐車（輪）場,駐車（輪）場,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/11/8,20,駐車（輪）場,駐車（輪）場,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/12/1,7,駐車（輪）場,駐車（輪）場,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,弁天２丁目,2022/12/16,11,駐車（輪）場,駐車（輪）場,20歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,川戸町,2022/1/14,11,道路上,その他,30歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2022/8/9,23,道路上,その他,60-64歳,その他,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2022/9/19,23,道路上,その他,10歳代,高校生,施錠せず
窃盗,自転車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,星久喜町,2022/8/21,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,10歳代,大学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻３丁目,2022/4/20,19,４階建て以上共同住宅,その他,10歳代,中学生,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,亥鼻３丁目,2022/6/18,13,一戸建住宅,駐車（輪）場,40歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城１丁目,2022/5/23,18,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城２丁目,2022/9/1,9,その他の住宅（３階建て以下共同住宅等）,その他,20歳代,その他,施錠せず
窃盗,自転車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,葛城３丁目,2022/5/15,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,30歳代,大学生,施錠した
